timestamp,point_name,x,y,alias,mac,rssion.
2025-06-26T18:19:34.458234,pt_41,4.0,1.0,WiSentinel-AP1,a8:93:4a:df:a6:c1,-10
2025-06-26T18:19:34.458234,pt_41,4.0,1.0,WiSentinel-AP4,a8:93:4a:df:24:e9,-30
2025-06-26T18:19:34.458234,pt_41,4.0,1.0,WiSentinel-AP3,a8:93:4a:df:a2:93,-31
2025-06-26T18:19:34.458234,pt_41,4.0,1.0,WiSentinel-AP2,38:d5:7a:a4:94:f7,-30
2025-06-26T18:19:38.758317,pt_51,5.0,1.0,WiSentinel-AP1,a8:93:4a:df:a6:c1,-10
2025-06-26T18:19:38.758317,pt_51,5.0,1.0,WiSentinel-AP4,a8:93:4a:df:24:e9,-30
2025-06-26T18:19:38.758317,pt_51,5.0,1.0,WiSentinel-AP3,a8:93:4a:df:a2:93,-33
2025-06-26T18:19:38.758317,pt_51,5.0,1.0,WiSentinel-AP2,38:d5:7a:a4:94:f7,-31
2025-06-26T18:19:43.100574,pt_51,5.0,1.0,WiSentinel-AP1,a8:93:4a:df:a6:c1,-10
2025-06-26T18:19:43.100574,pt_51,5.0,1.0,WiSentinel-AP4,a8:93:4a:df:24:e9,-30
2025-06-26T18:19:43.100574,pt_51,5.0,1.0,WiSentinel-AP3,a8:93:4a:df:a2:93,-32
2025-06-26T18:19:43.100574,pt_51,5.0,1.0,WiSentinel-AP2,38:d5:7a:a4:94:f7,-31
2025-06-26T18:19:47.384594,pt_51,5.0,1.0,WiSentinel-AP1,a8:93:4a:df:a6:c1,-10
2025-06-26T18:19:47.384594,pt_51,5.0,1.0,WiSentinel-AP4,a8:93:4a:df:24:e9,-30
2025-06-26T18:19:47.384594,pt_51,5.0,1.0,WiSentinel-AP3,a8:93:4a:df:a2:93,-33
2025-06-26T18:19:47.384594,pt_51,5.0,1.0,WiSentinel-AP2,38:d5:7a:a4:94:f7,-31
2025-06-26T18:19:51.732799,pt_61,6.0,1.0,WiSentinel-AP1,a8:93:4a:df:a6:c1,-10
2025-06-26T18:19:51.732799,pt_61,6.0,1.0,WiSentinel-AP4,a8:93:4a:df:24:e9,-31
2025-06-26T18:19:51.732799,pt_61,6.0,1.0,WiSentinel-AP3,a8:93:4a:df:a2:93,-34
2025-06-26T18:19:51.732799,pt_61,6.0,1.0,WiSentinel-AP2,38:d5:7a:a4:94:f7,-31
2025-06-26T18:19:56.057018,pt_61,6.0,1.0,WiSentinel-AP1,a8:93:4a:df:a6:c1,-10
2025-06-26T18:19:56.057018,pt_61,6.0,1.0,WiSentinel-AP4,a8:93:4a:df:24:e9,-31
2025-06-26T18:19:56.057018,pt_61,6.0,1.0,WiSentinel-AP3,a8:93:4a:df:a2:93,-33
2025-06-26T18:19:56.057018,pt_61,6.0,1.0,WiSentinel-AP2,38:d5:7a:a4:94:f7,-31
2025-06-26T18:20:00.397087,pt_61,6.0,1.0,WiSentinel-AP1,a8:93:4a:df:a6:c1,-10
2025-06-26T18:20:00.397087,pt_61,6.0,1.0,WiSentinel-AP4,a8:93:4a:df:24:e9,-31
2025-06-26T18:20:00.397087,pt_61,6.0,1.0,WiSentinel-AP3,a8:93:4a:df:a2:93,-33
2025-06-26T18:20:00.397087,pt_61,6.0,1.0,WiSentinel-AP2,38:d5:7a:a4:94:f7,-30
2025-06-26T18:20:04.680983,pt_02,0.0,2.0,WiSentinel-AP1,a8:93:4a:df:a6:c1,-10
2025-06-26T18:20:04.680983,pt_02,0.0,2.0,WiSentinel-AP4,a8:93:4a:df:24:e9,-30
2025-06-26T18:20:04.680983,pt_02,0.0,2.0,WiSentinel-AP3,a8:93:4a:df:a2:93,-33
2025-06-26T18:20:04.680983,pt_02,0.0,2.0,WiSentinel-AP2,38:d5:7a:a4:94:f7,-31
2025-06-26T18:20:08.979430,pt_02,0.0,2.0,WiSentinel-AP1,a8:93:4a:df:a6:c1,-10
2025-06-26T18:20:08.979430,pt_02,0.0,2.0,WiSentinel-AP4,a8:93:4a:df:24:e9,-30
2025-06-26T18:20:08.979430,pt_02,0.0,2.0,WiSentinel-AP3,a8:93:4a:df:a2:93,-32
2025-06-26T18:20:08.979430,pt_02,0.0,2.0,WiSentinel-AP2,38:d5:7a:a4:94:f7,-31
2025-06-26T18:20:13.346425,pt_02,0.0,2.0,WiSentinel-AP1,a8:93:4a:df:a6:c1,-10
2025-06-26T18:20:13.346425,pt_02,0.0,2.0,WiSentinel-AP4,a8:93:4a:df:24:e9,-30
